Persona,Touchpoint,Stage,Emotion,Pain Point
Tech Enthusiast,Website,Awareness,Curious,Website navigation
Busy Professional,Social Media,Consideration,Interested,Overload of information
Student Gamer,Email Marketing,Purchase,Decisive,Payment process
Tech Enthusiast,In-Store,Loyalty,Satisfied,Product availability
Busy Professional,Customer Service,Post-Purchase,Supported,Response time
Student Gamer,Website,Awareness,Curious,Website navigation
Tech Enthusiast,Social Media,Consideration,Interested,Overload of information
Busy Professional,Email Marketing,Purchase,Decisive,Payment process
Student Gamer,In-Store,Loyalty,Satisfied,Product availability
Tech Enthusiast,Customer Service,Post-Purchase,Supported,Response time
Busy Professional,Website,Awareness,Curious,Website navigation
Student Gamer,Social Media,Consideration,Interested,Overload of information
Tech Enthusiast,Email Marketing,Purchase,Decisive,Payment process
Busy Professional,In-Store,Loyalty,Satisfied,Product availability
Student Gamer,Customer Service,Post-Purchase,Supported,Response time
